ITEM: TIMESTEP
5811
ITEM: NUMBER OF ATOMS
2272
ITEM: BOX BOUNDS pp pp pp
-2.1977204902229017e+00 1.2859395849022266e+02
2.2466831253964842e-02 1.8034138168745997e+01
3.5896127169245312e-02 1.1384103872830766e+01
ITEM: ATOMS id type x y z c_eng
1161 1 94.1751 0.288668 2.96875 -4.12179
1162 1 95.0816 2.08424 1.54787 -4.12179
1163 1 94.1751 0.288668 0.131702 -4.12179
1164 1 96.8946 1.17248 2.96169 -4.12179
1165 1 96.8946 1.17248 0.124639 -4.12179
1166 1 97.8011 2.96806 1.54081 -4.12179
1167 1 98.7075 0.260714 1.53846 -4.12179
1168 1 99.614 2.05629 2.95463 -4.12179
1169 1 99.614 2.05629 0.117576 -4.12179
1170 1 101.427 1.14453 1.53139 -4.12179
1171 1 102.333 2.9401 2.94757 -4.12179
1172 1 102.333 2.9401 0.110513 -4.12179
1173 1 103.24 0.232761 2.94521 -4.12179
1174 1 104.146 2.02834 1.52433 -4.12179
1175 1 103.24 0.232761 0.108159 -4.12179
1176 1 105.959 1.11657 2.93815 -4.12179
1177 1 105.959 1.11657 0.101096 -4.12179
1178 1 107.772 0.204807 1.51491 -4.12179
1179 1 106.866 2.91215 1.51727 -4.12179
1180 1 108.679 2.00038 2.93109 -4.12179
1181 1 108.679 2.00038 0.0940332 -4.12179
1182 1 110.492 1.08862 1.50785 -4.12178
1183 1 111.398 2.88419 2.92402 -4.1218
1184 1 111.398 2.88419 0.0869703 -4.1218
1185 1 112.305 0.176862 2.92167 -4.12177
1186 1 112.305 0.176862 0.0846161 -4.12177
1187 1 113.211 1.97242 1.50079 -4.12181
1532 1 115.024 1.06063 2.91461 -4.12186
2259 1 115.024 1.06063 0.0775532 -4.12186
1189 1 115.93 2.8563 1.49373 -4.12166
1190 1 117.743 1.94465 2.90754 -4.12144
1538 1 116.837 0.1488 1.49137 -4.122
2032 1 117.743 1.94465 0.0704916 -4.12144
1194 1 120.464 2.82745 2.90047 -4.12351
1540 1 119.556 1.0332 1.48431 -4.12074
2034 1 120.464 2.82745 0.063421 -4.12351
1542 1 121.367 0.122327 2.89814 -4.11917
2266 1 121.367 0.122327 0.0610886 -4.11917
1198 1 122.28 1.91437 1.47721 -4.12546
1201 1 124.98 2.81508 1.47075 -4.04801
1544 1 124.099 0.998199 2.89084 -4.13902
2267 1 124.099 0.998199 0.0537863 -4.13902
1203 1 126.722 1.89587 2.88771 -3.90023
2041 1 126.722 1.89587 0.0506593 -3.90023
1551 1 125.931 0.0598972 1.46624 -4.02523
86 1 -0.973872 4.45758 2.85536 -4.02516
87 1 -1.7655 6.30906 1.43515 -3.91134
90 1 0.860284 5.36753 1.43102 -4.14166
169 1 -0.0245806 7.20019 2.85123 -4.03228
91 1 2.68274 6.25158 2.84466 -4.1258
94 1 3.59619 4.44292 1.42365 -4.11827
96 1 5.41006 5.32117 2.83706 -4.11669
99 1 7.2217 6.19725 1.41092 -4.11587
179 1 4.50272 7.13317 1.42151 -4.12516
98 1 8.14998 4.3932 2.83974 -4.08319
101 1 9.95483 5.27481 1.47454 -3.96944
183 1 9.01759 7.09454 2.80251 -3.99786
340 1 12.1553 5.25091 3.56328 -3.84132
1065 1 12.1553 5.25091 0.726232 -3.84132
104 1 14.2015 4.71432 1.99 -3.97603
108 1 16.1127 5.42549 3.23956 -3.99799
109 1 16.1127 5.42549 0.402511 -3.99799
110 1 17.9087 6.32288 1.79411 -4.11622
112 1 18.8078 4.50389 3.20573 -4.12998
113 1 18.8078 4.50389 0.368683 -4.12998
195 1 19.7209 7.19926 3.20502 -4.11779
196 1 19.7209 7.19926 0.367969 -4.11779
111 1 20.6261 5.38596 1.78353 -4.1233
117 1 22.4433 6.26629 3.19745 -4.12229
118 1 22.4433 6.26629 0.360402 -4.12229
116 1 23.3522 4.45521 1.77659 -4.12145
120 1 25.1686 5.33508 3.19037 -4.12167
122 1 25.1686 5.33508 0.353318 -4.12167
200 1 24.2601 7.14642 1.77421 -4.12199
121 1 26.985 6.21501 1.76711 -4.12175
125 1 27.8932 4.4035 3.18326 -4.12181
127 1 27.8932 4.4035 0.346211 -4.12181
207 1 28.8014 7.09496 3.18089 -4.12177
208 1 28.8014 7.09496 0.343842 -4.12177
126 1 29.7097 5.28347 1.76 -4.12179
128 1 32.4344 4.35196 1.75289 -4.12178
129 1 31.5262 6.16343 3.17379 -4.12179
130 1 31.5262 6.16343 0.336736 -4.12179
213 1 33.3426 7.0434 1.75053 -4.12179
131 1 34.2509 5.23192 3.16668 -4.12179
132 1 34.2509 5.23192 0.329631 -4.12179
135 1 36.0674 6.11188 1.74342 -4.12179
134 1 36.9756 4.3004 3.15958 -4.12179
136 1 36.9756 4.3004 0.322525 -4.12179
139 1 38.7921 5.18037 1.73631 -4.12179
220 1 37.8838 6.99184 3.15721 -4.12179
221 1 37.8838 6.99184 0.320156 -4.12179
140 1 40.6086 6.06033 3.1501 -4.12179
141 1 40.6086 6.06033 0.31305 -4.12179
142 1 41.5168 4.24885 1.72921 -4.12179
225 1 42.4251 6.94029 1.72684 -4.12179
143 1 43.3333 5.12881 3.143 -4.12179
144 1 43.3333 5.12881 0.305945 -4.12179
147 1 45.1498 6.00878 1.71973 -4.12179
146 1 46.058 4.1973 3.13589 -4.12179
148 1 46.058 4.1973 0.298839 -4.12179
151 1 47.8745 5.07726 1.71263 -4.12179
229 1 46.9663 6.88874 3.13352 -4.12179
230 1 46.9663 6.88874 0.296471 -4.12179
152 1 49.691 5.95722 3.12642 -4.12179
153 1 49.691 5.95722 0.289365 -4.12179
155 1 50.5992 4.14574 1.70552 -4.12178
