ITEM: TIMESTEP
13225
ITEM: NUMBER OF ATOMS
2927
ITEM: BOX BOUNDS pp pp pp
-2.0174776239694991e+00 1.3559208562396901e+02
1.7541432723851027e-02 2.2244893567276108e+01
7.8240202608196047e-03 1.0552175979739211e+01
ITEM: ATOMS id type x y z c_eng
2495 1 119.211 2.54051 0.332502 -4.44981
2911 1 118.097 0.324068 0.332502 -4.44982
1522 1 120.883 3.08675 2.08989 -4.44981
1524 1 123.111 1.96281 2.08989 -4.44979
2915 1 121.44 1.41656 0.332502 -4.4498
2916 1 123.668 0.292624 0.332502 -4.44977
1942 1 125.339 0.838941 2.08989 -4.44971
2501 1 124.782 2.50894 0.332502 -4.44988
1528 1 126.453 3.05495 2.08989 -4.45009
1530 1 128.683 1.93014 2.08989 -4.45099
2920 1 127.011 1.38488 0.332502 -4.45
2921 1 129.24 0.260898 0.332502 -4.45023
1947 1 130.915 0.803172 2.08989 -4.44993
2507 1 130.348 2.47807 0.332502 -4.44647
2926 1 132.568 1.35808 0.332502 -4.42145
1534 1 132.014 3.02888 2.08989 -4.41254
1949 1 134.231 1.93384 2.08989 -4.29412
2925 1 134.766 0.178663 0.332502 -4.19289
72 1 -0.715277 4.55739 0.332502 -4.1622
73 1 0.874692 5.1029 2.08989 -4.12212
74 1 -1.25181 6.23922 2.08989 -4.24872
75 1 1.98948 3.5572 0.332502 -4.48515
76 1 3.12321 5.06391 2.08989 -4.1585
77 1 4.66874 4.49045 0.332502 -4.37744
78 1 5.26044 6.18803 2.08989 -4.40473
80 1 6.34976 3.93995 2.08989 -4.43718
79 1 6.90862 5.60094 0.332502 -4.45234
13 1 8.02402 3.37138 0.332502 -4.45016
81 1 8.58264 5.0339 2.08989 -4.45011
82 1 10.2576 4.46477 0.332502 -4.45017
83 1 10.8158 6.12707 2.08989 -4.45
84 1 12.4902 5.55772 0.332502 -4.44989
85 1 11.9328 3.8956 2.08989 -4.44955
19 1 13.6067 3.3258 0.332502 -4.44981
86 1 14.1647 4.98828 2.08989 -4.44974
87 1 15.8388 4.41866 0.332502 -4.44981
88 1 16.3968 6.0811 2.08989 -4.4498
89 1 17.5129 3.84908 2.08989 -4.44982
90 1 18.0709 5.51152 0.332502 -4.44981
23 1 19.187 3.27953 0.332502 -4.44982
91 1 19.7451 4.94195 2.08989 -4.44982
92 1 21.4192 4.3724 0.332502 -4.44982
93 1 21.9773 6.03482 2.08989 -4.44981
94 1 23.0934 3.80284 2.08989 -4.44981
95 1 23.6514 5.46526 0.332502 -4.44981
29 1 24.7675 3.23328 0.332502 -4.44981
96 1 25.3256 4.8957 2.08989 -4.44981
97 1 26.9997 4.32615 0.332502 -4.44981
98 1 27.5577 5.98857 2.08989 -4.44981
100 1 28.6739 3.75659 2.08989 -4.44981
101 1 29.2319 5.41901 0.332502 -4.44981
102 1 30.9061 4.84946 2.08989 -4.44981
103 1 32.5802 4.27991 0.332502 -4.44981
104 1 33.1383 5.94233 2.08989 -4.44981
106 1 34.8124 5.37278 0.332502 -4.44981
107 1 34.2544 3.71036 2.08989 -4.44982
108 1 36.4866 4.80323 2.08989 -4.44982
110 1 38.1607 4.23369 0.332502 -4.44982
111 1 38.7188 5.89611 2.08989 -4.44982
112 1 39.8349 3.66414 2.08989 -4.44982
113 1 40.393 5.32658 0.332502 -4.44982
114 1 42.0671 4.75703 2.08989 -4.44982
116 1 43.7412 4.18748 0.332502 -4.44982
117 1 44.2994 5.84994 2.08989 -4.44982
118 1 45.4153 3.6179 2.08989 -4.44982
119 1 45.9735 5.28039 0.332502 -4.44982
120 1 47.6475 4.7108 2.08989 -4.44982
122 1 49.3215 4.14117 0.332502 -4.44982
123 1 49.8798 5.80371 2.08989 -4.44982
124 1 51.5537 5.23404 0.332502 -4.44983
125 1 50.9953 3.57148 2.0899 -4.44982
126 1 53.2275 4.6643 2.08992 -4.44984
127 1 53.7859 6.32691 0.332502 -4.44984
128 1 54.901 4.09439 0.332502 -4.44976
129 1 55.4596 5.75718 2.08994 -4.44993
130 1 57.1325 5.18705 0.332502 -4.44974
131 1 56.5746 3.5243 2.08993 -4.44963
132 1 58.8054 4.61669 2.08998 -4.44942
134 1 59.3632 6.28008 0.332502 -4.44971
133 1 60.481 4.04737 0.332502 -4.44948
135 1 61.0338 5.70916 2.09025 -4.4468
136 1 62.1622 3.48367 2.08979 -4.45123
137 1 62.7093 5.14065 0.332502 -4.4344
138 1 64.4121 4.58609 2.09037 -4.33645
140 1 64.954 6.22255 0.332502 -4.22862
139 1 66.0311 4.05173 0.332502 -4.21118
1467 1 67.6474 3.4971 2.09053 -4.28366
2512 1 68.1819 5.13805 0.332502 -4.21513
1465 1 69.8849 4.54662 2.09522 -4.31145
2514 1 70.4502 6.20371 0.332502 -4.34046
1540 1 71.9776 5.6194 2.09131 -4.15133
2444 1 71.9906 3.82966 0.332502 -4.49593
1471 1 74.0653 4.45755 2.09083 -4.36352
2518 1 73.52 6.12151 0.332502 -4.34794
2448 1 75.7596 5.00967 0.332502 -4.44275
1474 1 76.3166 3.3404 2.09042 -4.43925
1546 1 77.4407 5.55173 2.09009 -4.4452
